id,requirement,canonical_owner,implementation_artifact,verification,status
REQ-021,"Homepage first viewport has HTML value proposition/CTA/proof and controlled hero/LCP",TemplateService+AssetService,"homepage/hero assets","LCP image priority; dimensions; mobile first viewport",CANONICAL
REQ-022,"Conditional assets and CWV improvement; distinguish TTFB from frontend",AssetService+deployment_owner,"asset registry/performance work","field/lab representative tests; no global unused bundles",CANONICAL
REQ-023,"Practical WCAG AA: keyboard/focus/contrast/labels/reduced motion/~44px mobile targets",TemplateService+AssetService,"UI components","keyboard/mobile/a11y regression",CANONICAL
REQ-024,"Legal footer links cannot be #; privacy must cover RFQ/upload",WordPress/provider+TemplateService,"legal/trust surfaces","link crawl; privacy approval; no filler",CANONICAL
REQ-025,"One metadata/schema/sitemap owner; provider-safe integration",SeoService,"SEO adapter/provider integration","no duplicate canonical/meta/schema graph",CANONICAL
REQ-026,"Pre/post launch crawl-diff, redirect/canonical/schema/sitemap verification",migration_workstream,"Wave 5/6 QA","crawl diff passes; 5 redirects/1 retire accounted",CANONICAL
REQ-027,"Production noindex/robots check",SeoService+deployment_owner,"launch checklist","production indexability verified",CANONICAL
REQ-028,"Preserve analytics/tag implementation continuity without building analytics product",TemplateService+deployment_owner,"event hooks/tag-safe templates","approved tags/events remain functional",CANONICAL
REQ-029,"Staging-first, backup/rollback readiness",deployment_owner+SiteLifecycleService,"Wave 0/6 deployment plan","rollback rehearsal/checklist",CANONICAL
REQ-030,"30-day defect warranty + 30/60/90 operational monitoring handoff plan",project_handoff,"launch documentation","handoff artifact produced; operations remain outside plugin",CANONICAL
REQ-031,"All Graha plugin-owned admin menu pages live under one `Graha Selang Content` parent immediately after Dashboard; native product screens are linked beneath it",AdminService,"admin-information-architecture.md + Wave 1 admin shell","single parent/slug/position; native product/category/brand links; capability/nonce/assets verified",CANONICAL
REQ-032,"Every shipped public page is production-ready, real-content-only, responsive, semantic, accessible and provider-safe",TemplateService+content_owner,"approved-next-bundle-contract.md + presentation families","no dummy/fabricated facts; one H1; deliberate empty state; responsive/a11y review",CANONICAL
REQ-033,"Production Homepage has at least four substantial real sections while preserving anchor/support/specialist hierarchy",TemplateService+content_owner,"front-page shell + native-home progressive graha_product sections","four sections render before product migration; six approved groups remain visible; published grouped products progressively populate; editor content preserved",IMPLEMENTED_PENDING_RUNTIME
REQ-034,"Typography/design values are centralized and consumed through one token layer owned by AssetService",AssetService+TemplateService,"approved-next-bundle-contract.md + token/foundation assets","token guard; no repeated one-off component values; reduced-motion/focus/control checks",CANONICAL
REQ-035,"Non-home page families use one reusable visible breadcrumb system with crawlable links and provider-safe output",TemplateService,"approved-next-bundle-contract.md + breadcrumb renderer","semantic nav/list; Home/current hierarchy; no breadcrumb schema duplication",CANONICAL
REQ-036,"Primary public copy is Indonesian, professional, concise and fact-based",TemplateService+content_owner,"approved-next-bundle-contract.md + templates","string audit; no template-English leaks; no keyword/AI filler",CANONICAL
REQ-037,"Migration is a narrow admin-only one-shot bundle lifecycle, not a generic permanent framework",AdminService+migration_coordinator,"ProductCatalogMigration + ProductCatalogBundle + fixed migration-runtime/product-catalog-v1 bundle","deterministic detection; temporary child menu only; no frontend runtime; full validation AJAX-only",IMPLEMENTED_PENDING_RUNTIME
REQ-038,"One-shot migration writes graha_product through native WordPress APIs and stable source identities for retry-safe idempotency",migration_coordinator+ProductContentService,"ProductCatalogMigration wp_insert_post/wp_update_post + provenance post meta","partial-failure retry; source/title/slug collision guards; new records draft; verification before consumed",IMPLEMENTED_PENDING_RUNTIME
REQ-039,"Consumed migration persists logical state before disposable-bundle cleanup and never deletes plugin core/repository archive",migration_coordinator+AdminService,"ProductCatalogMigration option state + ProductCatalogBundle fixed-path cleanup","consumed cannot rerun; cleanup failure reported; archive untouched; no recursive delete",IMPLEMENTED_PENDING_RUNTIME
REQ-040,"Migration admin UI remains cheap on page load and heavy validation/import work runs only through explicit authenticated AJAX",AdminService+migration_coordinator+AssetService,"temporary migration child + screen-scoped admin-migration.js + authenticated wp_ajax action","no render-time checksum/import; edit_posts+nonce; button lock; no nopriv; no polling; migration helper absent from frontend Kernel boot",IMPLEMENTED_PENDING_RUNTIME
REQ-041,"Graha product ownership is native and preserves existing product/category/brand route shapes without WooCommerce",ProductContentService,"ProductContentService + AdminService native screen links + TemplateService native queries","CPT/taxonomy registration tests; Woo primitive guard; route args; Home/migration tests",IMPLEMENTED_PENDING_RUNTIME
REQ-042,"Fresh activation provides an immediately usable Graha site without product migration or manual menu/front-page setup, while preserving editor-owned and established Reading Settings, and the Graha frontend shell renders the front page regardless of that configuration",SiteLifecycleService+TemplateService+NavigationService,"activation hooks + SiteLifecycleService + front-page.php + route-aware Page fallbacks + fallback navigation","five canonical Pages exactly once; public-ready schema gate; no auto-publish of existing draft/private/trash Pages; safe static Home assignment; established posts-front Reading Settings never overwritten; front-page presentation ownership is route-driven (is_front_page()) and applies in latest-posts mode, canonical static Home, or any other configured static front Page; editor content overrides fallbacks; unpublished fallback-nav targets omitted; zero-product Home",IMPLEMENTED_PENDING_RUNTIME
